danceability,key,loudness,acousticness,instrumentalness,liveness,valence,tempo,popular
0.602,7,-8.021,0.103,0.0,0.175,0.961,133.0,1.0
0.535,6,-7.45,0.645,0.0,0.131,0.0563,139.08,1.0
0.603,9,-4.58,0.0669,0.0,0.219,0.316,76.049,1.0
0.351,10,-15.719,0.862,0.135,0.12,0.106,95.32,0.0
0.754,11,-4.209,0.0122,0.000111,0.0923,0.576,169.116,1.0
0.47,7,-6.963,0.235,1.61e-06,0.156,0.459,133.586,0.0
0.655,9,-7.731,0.446,0.0118,0.0897,0.251,126.977,1.0
0.659,0,-11.242,0.479,0.18,0.0727,0.69,96.647,1.0
0.722,8,-3.436,0.0276,0.0,0.1,0.775,179.962,1.0
0.622,4,-12.488,0.357,4.68e-06,0.0748,0.418,173.989,0.0
0.633,2,-13.38,0.924,0.0,0.717,0.546,56.972,0.0
0.474,2,-6.261,0.362,0.0218,0.0618,0.279,96.342,1.0
0.201,10,-14.658,0.556,0.0,0.913,0.215,90.702,0.0
0.659,0,-8.337,0.627,0.000217,0.136,0.672,116.634,1.0
0.373,1,-5.282,9.4e-06,0.0,0.0696,0.565,177.9,1.0
0.631,4,-7.382,0.379,0.00273,0.146,0.665,107.26,1.0
0.613,0,-6.761,0.492,0.0,0.373,0.301,121.976,0.0
0.505,10,-12.959,0.663,0.0,0.101,0.463,79.221,1.0
0.394,2,-8.082,0.0906,0.0,0.473,0.616,207.687,1.0
0.556,9,-6.658,0.837,0.00286,0.151,0.343,106.103,0.0
0.239,7,-10.648,0.876,0.0961,0.382,0.488,96.215,0.0
0.477,10,-12.072,0.867,0.895,0.111,0.204,109.266,0.0
0.753,9,-6.43,0.0321,0.0,0.323,0.595,122.033,1.0
0.627,1,-6.129,0.695,0.0,0.0945,0.328,103.949,1.0
0.575,3,-18.47,0.923,0.00796,0.17,0.452,96.91,0.0
0.804,3,-9.724,0.317,3.81e-05,0.114,0.27,139.928,1.0
0.57,11,-12.181,0.412,1.67e-05,0.0783,0.48,161.195,0.0
0.757,9,-8.125,0.375,0.0,0.131,0.811,172.07,1.0
0.376,4,-3.793,1.4e-05,1.4e-05,0.241,0.266,144.581,1.0
0.245,10,-20.374,0.906,0.0665,0.134,0.0377,75.927,0.0
0.73,9,-11.961,0.362,0.000368,0.0682,0.699,135.025,1.0
0.644,6,-12.653,0.199,0.0,0.432,0.488,121.882,0.0
0.846,3,-11.889,0.931,2.1e-05,0.0997,0.631,123.62,0.0
0.563,11,-7.689,0.566,0.0,0.162,0.273,117.987,0.0
0.562,4,-4.879,0.0049,0.0,0.0928,0.674,124.938,1.0
0.481,9,-11.813,0.89,0.00228,0.0361,0.351,76.179,0.0
0.625,9,-12.045,0.635,0.0,0.133,0.934,79.878,0.0
0.515,0,-3.564,0.00146,0.000235,0.101,0.457,94.015,1.0
0.574,6,-4.793,0.061,0.00158,0.156,0.423,115.728,1.0
0.549,5,-14.399,0.51,0.0549,0.131,0.465,99.799,0.0
0.777,10,-5.768,0.324,0.0237,0.058,0.459,117.949,1.0
0.697,9,-5.757,0.409,3.8e-06,0.0819,0.439,123.279,1.0
0.658,9,-5.668,0.0653,9.74e-06,0.268,0.111,90.995,0.0
0.851,2,-11.048,0.453,6.34e-05,0.124,0.905,93.698,1.0
0.597,5,-6.764,0.18,1.33e-05,0.121,0.0997,120.085,1.0
0.568,8,-5.457,0.431,0.0,0.204,0.348,74.061,0.0
0.555,5,-7.094,0.613,1.66e-06,0.103,0.308,143.97,1.0
0.568,6,-7.316,0.146,0.0,0.343,0.578,104.443,1.0
0.341,9,-7.87,0.113,0.0,0.123,0.283,186.73,0.0
0.466,8,-10.339,0.511,4.17e-05,0.287,0.388,129.408,0.0
0.601,6,-4.856,0.0945,1.68e-06,0.12,0.508,102.061,1.0
0.706,0,-3.053,0.354,3.72e-06,0.146,0.465,123.012,1.0
0.401,11,-5.679,0.983,0.0151,0.233,0.61,155.874,0.0
0.546,4,-7.97,0.568,2.19e-05,0.132,0.546,137.015,0.0
0.531,6,-9.729,0.763,1.58e-06,0.16,0.414,84.814,1.0
0.226,5,-17.645,0.975,0.603,0.168,0.264,79.788,0.0
0.349,10,-9.709,0.457,0.0421,0.141,0.366,155.212,0.0
0.756,7,-3.39,0.404,0.0,0.112,0.915,132.987,1.0
0.49,0,-10.147,0.312,0.0,0.318,0.156,81.833,0.0
0.824,8,-5.312,0.016,4.95e-05,0.117,0.896,95.114,1.0
0.366,0,-10.329,0.689,2.65e-06,0.423,0.463,183.636,0.0
0.528,9,-7.482,0.0345,3.88e-05,0.0885,0.386,175.122,0.0
0.36,0,-11.029,0.78,0.000419,0.0324,0.665,146.362,0.0
0.78,6,-7.644,0.0499,0.000205,0.141,0.465,110.01,1.0
0.282,0,-11.926,0.927,0.000441,0.293,0.134,180.287,0.0
0.532,7,-4.95,0.064,0.0,0.223,0.225,120.853,1.0
0.349,4,-11.017,0.368,0.00217,0.285,0.424,76.346,0.0
0.354,1,-6.389,0.018,0.0134,0.0753,0.596,142.348,1.0
0.482,0,-7.867,0.879,1.7e-05,0.131,0.544,145.33,0.0
0.649,0,-7.194,0.147,5.77e-05,0.169,0.347,128.039,1.0
0.757,1,-4.279,0.153,0.0,0.479,0.823,99.011,1.0
0.754,9,-7.779,0.147,0.0,0.134,0.519,120.042,1.0
0.576,4,-10.257,0.778,0.0,0.135,0.935,80.139,0.0
0.565,9,-8.676,0.711,1.48e-06,0.263,0.808,131.356,0.0
0.675,10,-15.801,0.72,0.686,0.105,0.559,126.444,0.0
0.329,5,-15.209,0.645,0.0,0.0833,0.134,111.106,0.0
0.606,3,-3.243,0.00872,0.0,0.0698,0.608,128.053,1.0
0.552,3,-6.235,0.617,1.74e-05,0.168,0.641,136.046,0.0
0.692,0,-4.816,0.00763,1.89e-05,0.305,0.686,93.975,1.0
0.447,5,-18.176,0.824,9.46e-06,0.978,0.345,118.62,0.0
0.224,9,-13.28,0.521,1.07e-05,0.118,0.25,85.918,0.0
0.536,8,-6.765,0.228,0.000143,0.0947,0.485,151.393,1.0
0.613,2,-13.3,0.0199,0.671,0.391,0.276,123.021,0.0
0.285,9,-13.471,0.725,0.0163,0.333,0.385,133.974,0.0
0.546,7,-14.649,0.507,0.0,0.132,0.572,96.06,0.0
0.705,0,-9.899,0.727,0.000133,0.113,0.288,119.909,1.0
0.199,9,-12.406,0.668,7.34e-05,0.12,0.155,67.577,0.0
0.172,8,-7.208,0.0664,3.01e-06,0.339,0.392,187.774,1.0
0.604,5,-8.235,0.0564,0.0,0.965,0.784,125.867,1.0
0.727,4,-9.621,0.712,0.000158,0.0765,0.314,110.545,1.0
0.597,11,-6.371,0.0245,0.000335,0.182,0.369,122.002,1.0
0.959,1,-10.365,0.173,0.0,0.261,0.842,115.912,1.0
0.581,1,-6.198,0.237,0.0,0.107,0.277,131.005,1.0
0.442,8,-7.88,0.802,0.0,0.165,0.7,135.186,0.0
0.565,2,-11.453,0.397,0.0,0.081,0.339,139.878,0.0
0.511,10,-4.414,0.0807,0.0,0.0975,0.511,84.953,1.0
0.272,7,-8.684,0.161,3.34e-06,0.103,0.397,195.751,1.0
0.326,4,-5.595,0.0512,6.62e-06,0.145,0.0387,149.919,1.0
0.716,7,-7.289,0.415,5.21e-05,0.151,0.466,127.924,1.0
0.255,8,-8.024,0.124,0.797,0.097,0.397,195.321,0.0
0.578,0,-10.151,0.333,0.0,0.991,0.519,84.954,0.0
0.736,2,-8.892,0.0131,0.0371,0.209,0.21,114.968,1.0
0.462,9,-14.52,0.959,0.00269,0.111,0.458,122.92,0.0
0.745,6,-4.339,0.357,0.0,0.302,0.674,90.149,1.0
0.795,2,-9.135,0.739,1.61e-05,0.0393,0.85,106.81,0.0
0.653,1,-20.792,0.389,0.000129,0.105,0.306,90.242,0.0
0.702,11,-2.977,0.0514,3.72e-06,0.166,0.735,137.981,1.0
0.65,4,-7.124,0.000655,0.00463,0.304,0.202,169.989,1.0
0.449,9,-19.725,0.995,0.907,0.0948,0.247,101.155,0.0
0.16,4,-16.827,0.812,0.0679,0.133,0.224,174.296,0.0
0.605,0,-12.48,0.629,0.00923,0.157,0.476,123.098,0.0
0.654,9,-6.091,0.00342,0.0,0.0887,0.272,137.616,1.0
0.368,7,-28.037,0.979,0.907,0.142,0.17,62.631,0.0
0.44,7,-9.574,0.68,1.48e-05,0.834,0.831,135.416,0.0
0.573,1,-5.926,0.576,0.0,0.122,0.648,142.222,0.0
0.68,5,-4.791,0.0028,2.22e-05,0.336,0.531,127.991,1.0
0.54,5,-8.142,0.356,0.0,0.167,0.399,138.07,0.0
0.52,5,-10.288,0.61,0.0344,0.107,0.405,122.086,1.0
0.49,1,-3.916,0.00234,2.17e-05,0.186,0.437,196.143,1.0
0.661,10,-3.673,0.292,0.0,0.0651,0.822,85.99,1.0
0.586,7,-8.218,0.464,0.0,0.0869,0.743,141.22,0.0
0.621,3,-18.579,0.704,0.0158,0.138,0.197,110.8,0.0
0.501,10,-5.481,0.734,0.0,0.222,0.805,117.941,0.0
0.521,10,-11.049,0.502,0.00705,0.191,0.274,100.407,0.0
0.58,1,-6.883,0.344,0.0,0.0755,0.507,147.988,1.0
0.828,10,-5.583,0.858,0.0,0.13,0.369,106.009,1.0
0.634,4,-16.479,0.834,0.0,0.119,0.503,128.142,0.0
0.421,4,-2.16,0.0819,0.0,0.5,0.494,180.336,1.0
0.77,3,-4.615,0.046,0.0,0.266,0.462,145.984,1.0
0.565,5,-3.773,0.349,0.0138,0.288,0.343,159.989,1.0
0.833,0,-8.74,0.195,0.0,0.142,0.514,130.003,1.0
0.349,5,-6.056,0.934,0.0,0.177,0.454,76.5,0.0
0.421,11,-14.32,0.542,2.35e-05,0.383,0.713,109.307,0.0
0.73,10,-18.959,0.864,0.0,0.198,0.636,82.557,0.0
0.553,5,-17.924,0.132,0.0361,0.162,0.353,167.626,0.0
0.621,9,-10.164,0.945,6.12e-05,0.117,0.125,111.893,0.0
0.775,8,-4.602,0.143,0.0,0.107,0.806,104.817,1.0
0.691,4,-3.714,0.618,7.64e-05,0.0762,0.962,114.598,1.0
0.46,6,-9.474,0.838,0.0036,0.43,0.555,72.991,0.0
0.661,7,-9.061,0.0257,0.00977,0.256,0.814,120.617,1.0
0.474,0,-2.287,0.843,1.85e-05,0.12,0.518,128.985,0.0
0.737,7,-5.894,0.153,0.0,0.135,0.916,140.088,1.0
0.467,4,-5.728,0.638,0.000226,0.126,0.186,158.106,1.0
0.58,9,-17.03,0.844,0.0,0.256,0.317,109.649,0.0
0.385,8,-9.785,0.11,3.69e-05,0.106,0.327,133.365,0.0
0.84,7,-5.884,0.342,0.00181,0.124,0.869,109.269,0.0
0.534,5,-13.27,0.981,1.14e-06,0.308,0.391,107.878,0.0
0.365,1,-14.935,0.563,0.209,0.087,0.323,81.98,0.0
0.395,1,-2.176,0.19,0.0,0.134,0.558,162.361,1.0
0.76,5,-5.412,0.103,0.0,0.0913,0.57,95.997,1.0
0.542,10,-4.653,0.000558,0.0141,0.126,0.29,132.048,1.0
0.715,8,-8.266,0.0182,0.0,0.119,0.544,143.117,1.0
0.287,4,-9.094,0.392,2.44e-05,0.341,0.682,186.638,0.0
0.82,8,-5.04,0.186,5.01e-05,0.0812,0.642,90.995,1.0
0.449,11,-12.425,0.734,0.0,0.443,0.451,85.725,0.0
0.763,8,-3.926,0.00595,0.000247,0.173,0.38,92.004,1.0
0.279,2,-9.099,0.331,0.000419,0.0709,0.0754,182.571,1.0
0.684,4,-7.527,0.0508,0.000314,0.179,0.512,94.993,0.0
0.535,0,-4.933,0.102,1.52e-05,0.144,0.799,203.712,1.0
0.424,0,-16.339,0.982,0.00637,0.295,0.08,96.865,0.0
0.591,5,-8.073,0.815,1.55e-06,0.145,0.745,143.736,0.0
0.624,5,-5.835,0.385,0.000166,0.0578,0.786,93.513,0.0
0.788,11,-3.022,0.00522,3.44e-06,0.0371,0.805,103.98,1.0
0.683,7,-6.931,0.545,0.0,0.0741,0.971,148.223,1.0
0.314,0,-11.63,0.766,6.09e-06,0.106,0.467,84.492,0.0
0.392,4,-12.964,0.73,0.0,0.073,0.198,173.987,0.0
0.295,10,-22.52,0.991,0.927,0.113,0.56,172.928,0.0
0.677,1,-5.078,0.198,0.0,0.0875,0.758,178.067,1.0
0.744,0,-14.745,0.255,1.89e-05,0.0717,0.749,84.252,0.0
0.422,1,-13.062,0.588,0.0167,0.0763,0.347,125.258,0.0
0.627,1,-20.403,0.248,0.0,0.283,0.663,81.542,0.0
0.314,4,-7.945,0.636,0.0,0.0943,0.382,169.636,1.0
0.596,9,-14.436,0.917,0.000466,0.0998,0.384,93.628,0.0
0.79,1,-8.489,0.3,0.0,0.101,0.451,131.818,1.0
0.583,10,-8.309,0.746,0.0,0.133,0.22,127.513,1.0
0.729,2,-17.901,0.494,0.0,0.881,0.361,115.043,0.0
0.702,2,-3.79,0.759,0.0,0.194,0.591,120.098,1.0
0.729,7,-7.033,0.13,0.000912,0.443,0.741,115.118,1.0
0.683,5,-4.233,0.538,0.0,0.0671,0.866,106.991,1.0
0.834,0,-9.607,0.0258,0.0,0.633,0.229,133.938,1.0
0.509,2,-6.707,0.033,4.37e-05,0.12,0.753,135.844,1.0
0.527,11,-4.397,8.63e-05,0.00966,0.179,0.626,90.088,1.0
0.554,0,-12.269,0.589,0.0473,0.062,0.5,91.169,0.0
0.899,7,-7.393,0.202,0.206,0.371,0.423,125.039,1.0
0.776,7,-5.861,0.225,8.16e-06,0.102,0.596,130.026,1.0
0.701,4,-6.873,0.319,0.0,0.113,0.446,102.004,1.0
0.669,7,-18.207,0.972,0.783,0.107,0.713,175.437,0.0
0.952,11,-9.989,0.159,0.0,0.558,0.968,123.79,0.0
0.568,0,-10.975,0.437,0.0133,0.107,0.544,124.001,0.0
0.694,1,-4.349,0.177,0.0,0.0749,0.621,120.002,1.0
0.26,3,-10.018,0.724,5.97e-06,0.106,0.212,88.53,0.0
0.715,1,-7.162,0.256,0.0,0.119,0.138,125.31,1.0
0.645,9,-6.268,0.00539,1.95e-05,0.528,0.464,123.965,1.0
0.632,11,-16.404,0.978,0.885,0.109,0.8,135.66,0.0
0.318,11,-4.864,0.534,0.0,0.13,0.41,85.356,1.0
0.538,9,-5.261,0.248,5.54e-06,0.0999,0.515,175.424,1.0
0.74,0,-9.555,0.782,0.0039,0.0767,0.796,78.577,0.0
0.626,7,-18.595,0.765,0.0,0.113,0.201,79.651,0.0
0.714,11,-4.808,0.127,0.0,0.359,0.589,134.002,1.0
0.853,7,-4.853,0.189,0.0,0.104,0.665,92.005,1.0
0.206,9,-17.584,0.929,0.913,0.0931,0.273,177.439,0.0
0.879,0,-5.816,0.125,0.0,0.0904,0.962,105.997,0.0
0.345,10,-9.717,0.42,3.31e-06,0.246,0.451,111.535,0.0
0.459,2,-8.771,0.391,0.287,0.0935,0.0733,124.202,1.0
0.483,4,-6.291,0.00471,2.01e-06,0.0997,0.217,79.926,1.0
0.317,1,-5.926,0.678,0.0,0.0581,0.24,155.935,0.0
0.39,3,-10.358,0.969,0.0,0.231,0.165,77.317,0.0
0.721,2,-6.059,0.727,0.0,0.117,0.377,99.966,1.0
0.519,3,-8.634,0.543,0.0,0.13,0.385,143.39,1.0
0.633,2,-7.824,0.0755,0.000387,0.0688,0.96,170.059,1.0
0.585,5,-7.1,0.0606,0.0,0.253,0.388,149.977,0.0
0.805,10,-7.176,0.0711,5.42e-05,0.245,0.776,94.989,1.0
0.632,2,-5.581,0.00084,0.0162,0.109,0.812,109.977,1.0
0.777,0,-8.681,0.0131,0.00805,0.246,0.529,116.669,1.0
0.477,0,-6.758,0.106,5.89e-06,0.143,0.515,75.183,1.0
0.621,0,-3.372,0.0495,0.0,0.323,0.721,144.084,1.0
0.68,4,-7.556,0.0941,0.0,0.0877,0.603,100.003,1.0
0.633,1,-14.589,0.991,0.891,0.199,0.76,133.54,0.0
0.469,7,-11.027,0.136,0.177,0.203,0.91,102.122,0.0
0.588,0,-7.287,0.592,0.00146,0.0733,0.209,152.881,1.0
0.628,1,-10.167,0.869,6.93e-05,0.158,0.731,134.888,1.0
0.554,8,-10.052,0.314,0.00345,0.684,0.512,90.023,1.0
0.55,9,-5.521,0.694,0.0,0.0695,0.771,144.737,1.0
0.629,2,-6.491,0.0912,0.0,0.0959,0.401,130.047,0.0
0.422,2,-18.735,0.883,0.166,0.105,0.52,105.98,0.0
0.702,7,-18.719,0.849,0.531,0.183,0.559,138.042,0.0
0.573,11,-6.873,0.189,0.0,0.221,0.492,140.264,1.0
0.553,6,-6.818,0.305,0.0581,0.0715,0.664,72.949,1.0
0.543,5,-10.184,0.144,0.0,0.228,0.737,159.996,0.0
0.64,9,-12.142,0.0983,2.76e-06,0.0636,0.795,141.945,0.0
0.649,0,-2.999,0.000654,9.45e-05,0.319,0.845,138.039,1.0
0.395,9,-8.095,0.826,0.0,0.125,0.447,83.218,0.0
0.796,11,-4.509,0.00561,0.0013,0.183,0.803,119.99,1.0
0.472,8,-10.042,0.781,0.0,0.121,0.334,64.895,0.0
0.721,7,-10.745,0.244,1.01e-06,0.134,0.56,114.471,0.0
0.89,2,-10.226,0.158,0.0,0.153,0.897,138.988,1.0
0.591,7,-6.381,0.409,0.0,0.718,0.747,121.682,1.0
0.359,10,-10.765,0.0591,0.746,0.0686,0.135,68.102,1.0
0.681,1,-4.323,0.0482,0.0,0.0753,0.839,170.019,1.0
0.91,0,-5.529,0.0026,0.0563,0.198,0.681,98.625,1.0
0.458,7,-12.578,0.995,0.551,0.188,0.789,184.254,0.0
0.729,11,-10.824,0.503,0.0,0.147,0.836,149.206,0.0
0.458,0,-22.16,0.93,0.563,0.113,0.411,87.774,0.0
0.889,7,-10.353,0.711,0.0,0.115,0.649,122.965,1.0
0.605,0,-13.283,0.912,0.0,0.649,0.771,128.239,0.0
0.93,0,-5.218,0.391,0.0,0.128,0.777,122.031,1.0
0.689,7,-11.649,0.772,0.0,0.205,0.202,129.998,0.0
0.628,7,-16.222,0.977,0.926,0.092,0.357,129.499,0.0
0.402,2,-11.328,0.795,0.0,0.222,0.551,111.065,1.0
0.474,1,-11.422,0.6,0.607,0.316,0.313,143.644,1.0
0.712,8,-6.204,0.25,0.0,0.0842,0.0844,92.071,1.0
0.861,8,-8.729,0.774,0.00291,0.347,0.82,118.072,1.0
0.646,3,-4.143,0.151,3.18e-06,0.113,0.93,118.001,1.0
0.397,8,-11.093,0.853,0.000695,0.107,0.771,136.409,0.0
0.46,8,-10.324,0.0104,0.0938,0.126,0.228,125.82,0.0
0.457,2,-11.683,0.405,7.65e-06,0.262,0.362,104.216,0.0
0.661,7,-8.052,0.359,0.0,0.75,0.796,123.894,1.0
0.494,7,-8.409,0.83,0.0,0.932,0.679,100.24,0.0
0.419,4,-22.362,0.992,0.923,0.102,0.446,162.632,0.0
0.477,11,-13.111,0.801,0.933,0.92,0.568,104.391,0.0
0.729,7,-11.858,0.436,0.000111,0.0942,0.37,90.05,1.0
0.735,10,-6.656,0.535,0.0,0.066,0.813,94.642,1.0
0.72,4,-6.998,0.504,0.0248,0.0495,0.981,123.461,0.0
0.533,2,-18.432,0.281,0.00932,0.536,0.778,78.086,0.0
0.538,4,-14.953,0.774,5.06e-05,0.129,0.321,83.983,0.0
0.711,7,-8.784,0.648,0.00226,0.0528,0.644,120.117,1.0
0.652,0,-5.145,0.00404,0.00381,0.124,0.76,132.03,1.0
0.786,7,-10.701,0.334,3.62e-06,0.041,0.861,132.503,1.0
0.932,7,-12.822,0.0372,0.000169,0.0337,0.53,112.782,0.0
0.912,10,-8.871,0.751,0.0,0.0868,0.785,129.978,1.0
0.672,1,-15.441,0.0349,4.32e-06,0.131,0.964,127.887,1.0
0.729,1,-4.91,0.318,1.74e-06,0.135,0.736,93.964,1.0
0.712,3,-4.551,0.3,0.0,0.0929,0.887,94.828,1.0
0.399,2,-10.221,0.171,0.163,0.124,0.378,130.178,0.0
0.953,0,-12.491,0.944,3.66e-06,0.12,0.798,110.009,0.0
0.632,1,-7.392,0.151,0.00382,0.114,0.456,87.998,1.0
0.627,10,-12.465,0.00964,0.525,0.308,0.73,107.651,0.0
0.583,4,-13.165,0.518,0.0,0.0665,0.513,87.837,1.0
0.938,0,-8.704,0.0503,0.000579,0.121,0.849,117.848,0.0
0.723,11,-9.462,0.146,0.0144,0.065,0.265,129.441,1.0
0.865,0,-7.555,0.0892,1.44e-06,0.105,0.332,100.015,1.0
0.461,10,-12.618,0.441,0.0,0.104,0.754,94.163,0.0
0.725,0,-5.565,0.0908,0.0028,0.174,0.6,144.707,1.0
0.283,0,-0.32,0.000204,0.0756,0.0627,0.438,124.149,1.0
0.659,2,-5.583,0.0368,0.0,0.0642,0.679,196.033,1.0
0.679,0,-15.92,0.258,9.7e-06,0.0835,0.461,94.988,0.0
0.415,9,-12.275,0.512,1.1e-05,0.106,0.685,91.582,0.0
0.432,10,-7.667,0.000299,0.704,0.109,0.101,100.122,0.0
0.619,9,-5.449,0.502,0.0,0.122,0.174,131.981,1.0
0.665,4,-12.096,0.9,0.0,0.398,0.625,130.63,0.0
0.651,4,-8.341,0.741,0.000257,0.0976,0.159,139.905,1.0
0.453,7,-14.501,0.974,0.881,0.145,0.202,166.703,0.0
0.844,7,-12.77,0.763,0.0,0.0506,0.306,110.113,0.0
0.824,1,-9.571,0.731,2.81e-06,0.111,0.659,100.05,1.0
0.555,9,-5.04,0.00268,0.0,0.122,0.422,144.874,1.0
0.8,4,-7.406,0.00123,0.0,0.0803,0.45,129.443,1.0
0.596,10,-10.098,0.381,0.0,0.204,0.22,77.832,0.0
0.687,10,-4.304,0.0188,0.0026,0.108,0.822,117.682,1.0
0.718,3,-7.111,0.389,0.00937,0.113,0.587,99.853,1.0
0.413,0,-7.253,0.872,0.000107,0.112,0.269,109.342,0.0
0.708,2,-4.424,0.0204,6.81e-06,0.062,0.265,123.013,1.0
0.657,7,-8.187,0.0882,0.000131,0.136,0.827,116.817,1.0
0.646,7,-5.61,0.702,0.0,0.0885,0.941,153.91,1.0
0.733,9,-4.046,0.217,0.0,0.0986,0.549,169.905,1.0
0.771,7,-12.288,0.86,1.55e-06,0.209,0.68,118.374,0.0
0.544,2,-9.544,0.311,0.0,0.106,0.399,79.101,1.0
0.563,8,-10.586,0.965,0.895,0.102,0.274,106.711,0.0
0.673,10,-14.281,0.052,0.000396,0.0824,0.579,124.29,1.0
0.64,6,-4.873,0.395,0.0,0.209,0.355,94.989,1.0
0.623,2,-8.405,0.56,8.55e-05,0.0535,0.961,183.732,0.0
0.497,4,-22.709,0.958,0.0,0.306,0.971,99.962,0.0
0.598,4,-14.254,0.00838,0.0,0.242,0.836,105.366,0.0
0.516,11,-6.206,0.789,8.63e-05,0.197,0.38,91.503,0.0
0.373,7,-7.26,0.786,0.000237,0.0851,0.47,129.768,0.0
0.457,9,-8.658,0.169,8.5e-06,0.0825,0.264,77.349,1.0
0.542,7,-11.209,0.752,2.58e-05,0.104,0.145,92.974,0.0
0.552,10,-4.941,0.706,1.25e-05,0.0744,0.804,67.379,1.0
0.802,0,-5.13,0.161,0.0,0.14,0.567,172.038,1.0
0.478,4,-4.342,0.363,3.34e-06,0.0768,0.664,184.819,1.0
0.63,10,-22.076,0.424,0.0,0.365,0.199,171.117,0.0
0.485,2,-4.209,0.127,2.96e-05,0.087,0.897,91.938,1.0
0.599,1,-8.782,0.0255,0.0,0.108,0.2,121.023,0.0
0.745,9,-7.943,0.424,0.0,0.0732,0.929,86.925,0.0
0.313,5,-9.455,0.735,3.45e-06,0.301,0.2,96.246,0.0
0.515,1,-5.321,0.507,0.0,0.11,0.23,131.934,1.0
0.609,0,-15.45,0.0801,5.01e-06,0.197,0.546,115.111,0.0
0.563,2,-6.422,0.293,0.0,0.202,0.523,89.976,1.0
0.408,10,-14.194,0.929,0.0,0.0977,0.258,123.754,0.0
0.438,8,-16.016,0.995,0.398,0.334,0.639,71.972,0.0
0.423,1,-19.229,0.774,0.838,0.895,0.028,129.563,1.0
0.292,2,-19.416,0.982,0.657,0.227,0.0779,131.855,0.0
0.661,11,-7.524,0.994,0.00233,0.373,0.746,102.396,0.0
0.568,7,-7.066,0.218,0.00418,0.0976,0.79,124.201,1.0
0.758,8,-3.22,0.0503,0.000226,0.325,0.853,112.042,1.0
0.671,7,-8.435,0.0688,3.6e-06,0.186,0.943,135.067,0.0
0.503,0,-10.251,0.655,0.373,0.0934,0.133,140.032,1.0
0.801,3,-5.843,0.851,1.29e-05,0.104,0.775,148.254,0.0
0.746,0,-13.049,0.618,0.00332,0.309,0.932,89.64,0.0
0.618,11,-3.57,0.179,0.0,0.528,0.437,139.752,1.0
0.623,0,-10.99,0.614,0.0,0.542,0.492,105.073,0.0
0.346,0,-5.222,0.0583,0.0,0.398,0.345,171.852,1.0
0.653,9,-7.101,0.0942,4.24e-06,0.275,0.489,86.234,1.0
0.429,0,-5.093,0.00146,1.05e-06,0.126,0.51,164.13,1.0
0.528,8,-7.147,0.304,2.21e-05,0.0565,0.748,166.022,1.0
0.375,11,-7.018,0.797,3.41e-05,0.269,0.513,93.257,1.0
0.485,2,-24.187,0.878,0.178,0.0899,0.239,147.135,0.0
0.754,5,-16.507,0.889,0.0,0.168,0.805,134.356,0.0
